id,status,author,title,year,grade,edition,firstprint,lastprint,contents,source
,нет,"Котов, А. Я.",Арифметика,,2,,1961,,,
,нет,"Макарычев, Ю. Н. И др","Математика в начальных классах. Ч. 1-3",,,,1969,1971,,
,нет,"Макарычев, Ю. Н. ; Миндюк Н. Г. ; Муравин, К. С.",Алгебра,,6,,1970,1980,,
,нет,"Моро, М. И. ; Бантова, М. А. ; Бельтюкова, Г. В.",Математика,,1,,1968,,,
,нет,"Моро, М. И. ; Бантова, М. А.",Математика,,2,,1967,,,
,нет,"Моро, М. И. ; Бантова, М. А. ; Пчелко, А. С.",Математика,,3,,1968,,,
,нет,"Муравин, К. С. ; Крейдлин, Е. Г.","Сборник задач по алгебре",,6-8,,1964,,,
,нет,"Пономарев, С. А. ; Стратилатов, П. В. ; Сырнев, Н. И.",Арифметика,,5-6,,1966,,,
,нет,"Пономарев, С. А. ; Стратилатов, П. В. ; Сырнев, Н. И.",Математика,,4,,1968,,,
,нет,"Пономарев, С. А. ; Стратилатов, П. В. ; Сырнев, Н. И.","Сборник задач и упражнений по арифметике",1960,5-6,7,,,,
,нет,"Пчелко, А. С. И др.",Математика,,3,,1970,1972,,
,нет,"Туманов, С. И.",Алгебра,,6-8,,1965,1972,,
,нет,"Нешков, К. И.",Математика,1979,4,5,,,,
,нет,"Нешков, К. И.",Математика,1979,5,4,,,,
,нет,"Баранова, И. В.","Учебные задания по математике для V класса (Эксперим. материалы)",1984,5,,,,,
,нет,"Баранова, И. В.","Математика 5 Проб. учебник для 5-го кл. сред. школы",1981,5,,,,,
,нет,"Баранова, И. В.","Математика Проб. учебник для 4 кл. сред. школы",1983,4,2,,,,
,нет,"Арутюнян, Е. Б.","Математика, 4",1988,4,,,,,
,нет,"Арутюнян, Е. Б.","Математика, 4",1990,5,,,,,
,нет,"Виленкин и др.",Математика,,5,,1991,,,
,нет,"Виленкин и др.",Математика,,6,,1991,,,
,нет,"Шеврин, Л. Н. И др","Математика. Учебник-собеседник",,5,,1992,,,
,нет,"Шеврин, Л. Н. И др","Математика. Учебник-собеседник",,6,,1992,,,
,нет,"Эрдниев П. М.",Математика,,5-6,,1993,,,
,нет,"Дорофеев, Г. В. ; Суворова, С. Б. И др.",Математика,,5,,,,,
,нет,"Дорофеев, Г. В. ; Суворова, С. Б. И др.",Математика,,6,,1994,,,
,нет,"Дорофеев, Г. В. ; Петерсон, Л. Г.",Математика,,5,,1998,,,
,нет,"Дорофеев, Г. В. ; Петерсон, Л. Г.",Математика,,6,,1998,,,
,нет,"Никольский, С. М. ;",Арифметика,,5,,1996,,,
,нет,"Никольский, С. М. ;",Арифметика,,6,,1997,,,
,,,,,,,,,,
,,,,,,,,,,
,нет,"Зубарева, И. И. ; Мордкович А. Г.",Математика,2001,5,,,,,
,нет,"Зубарева, И. И. ; Мордкович А. Г.",Математика,2001,6,,,,,
,нет,"Истомина Н.Б.",Математика,2001,5,,,,,
,нет,"Александрова Э.И.","Учебник для 1 класса трехлетней начальной школы",1998,1,4,,,,
,нет,"Давыдов В.В., Савельева О.В., Микулина Г.Г., Горбов С.Ф.","Математика. 1-й класс: Учебник-тетрадь для первоклассников",1997,1,,,,,
,нет,"Давыдов В.В., Горбов С.Ф., Микулина Г.Г., Савельева О.В.","Математика. 2 класс трехлетней школы: Учебник-тетрадь",1995,2,,,,,
,нет,"Александрова Э.И.","Математика, 2",1995,2,,,,,
,нет,"Райзберг Б.А.","Математические задачи с экономическим содержанием для начальной школы",1994,1-3,,,,,
,нет,"Истомина Н.Б.",Математика,1995,1-4,,,,,
,,,,,,,,,,
,нет,"Петерсон, Л. Г. И др.",,1995,,,,,,
,нет,"И.Б. Нефедова",,1995,,,,,,
,нет,"И. А. Кочеткова",,1995,,,,,,
,нет,"Волкова С.И., Тихомирова С.А.","Математика в сказках: Для учащихся 1-3 кл.",1995,,,,,,
,,,,,,,,,,
,нет,"Чесноков, А. С.",Математика,2000,6,,,,,
,нет,"И. Зубарева",Математика,2000,5,,,,,
,нет,"Баранова И.В., Борчугова З.Г.",Математика,2000,5,,,,,
,нет,"Баранова И.В., Борчугова З.Г.",Математика,2000,6,,,,,
,нет,"Виленкин Н.Я, Жохов В.И., Чесноков А.С., Шварцбурд С.И.",Математика,2000,5-6,,,,,
,нет,"С.Б. Суворова, Л.В. Кузнецова, С.С. Минаева и др.",Математика,2000,6,,,,,
,нет,"Г.В. Дорофеев, И.Ф. Шарыгин",Математика,2000,6,,,,,
,нет,"Гейдман Б.П. и др.",Математика,2000,2,,,,,
,нет,"Левитас Г.",Математика,2000,5,,,,,
,нет,"Мордкович, А.","Математика — Алгебра",2000,1-11,,,,,
,нет,"Л.Г. Петерсон, М.А. Кубышева",Математика,2000,5-6,,,,,
,нет,"Жохов, В. И.",Математика,2000,5-9,,,,,
,нет,"Петерсон, Л. Г. И др.",Математика,2005,1-4,,,,,
,нет,"Моро, М. И. ; Бантова, М. А.",Математика,2005,1-4,,,,,
,нет,"Истомина Н.Б.",Математика,2005,1-4,,,,,
,,,,,,,,,,
,нет,"Рудницкая В.Н.",Математика,2005,1,,,,,
,нет,"Аргинская, И. И.",Математика,2005,1-4,,,,,
,нет,"Башмаков М.И., М.Г. Нефедова",Математика,2005,1,,,,,
,нет,"Ванцян А.Г.",Математика,2005,5,,,,,
,нет,"Волович, М. Б.",Математика,2004,5-6,,,,,
